PRODUCT_ID,CATEGORY
185,Category B
186,Category A
186,Category P
187,Category I
187,Category L
188,Category G
189,Category C
189,Category Q
190,Category J
191,Category G
191,Category Y
192,Category N
192,Category X
193,Category C
193,Category V
194,Category S
195,Category K
195,Category N
196,Category I
196,Category M
197,Category G
197,Category U
198,Category A
198,Category W
199,Category F
200,Category C
200,Category U
201,Category E
201,Category X
202,Category F
203,Category B
203,Category H
204,Category G
204,Category U
205,Category O
206,Category A
206,Category R
207,Category E
207,Category J
208,Category B
209,Category B
210,Category O
211,Category I
212,Category B
213,Category M
213,Category Y
214,Category G
215,Category N
216,Category Z
217,Category C
217,Category Z
218,Category G
218,Category O
219,Category K
220,Category W
221,Category L
221,Category T
222,Category Y
223,Category J
223,Category L
224,Category I
225,Category Q
225,Category V
226,Category W
226,Category Z
227,Category D
227,Category U
228,Category V
229,Category J
229,Category O
230,Category N
231,Category W
232,Category M
232,Category R
233,Category B
234,Category J
234,Category S
235,Category I
236,Category P
237,Category E
237,Category L
238,Category R
238,Category S
239,Category D
239,Category K
240,Category C
241,Category I
241,Category M
242,Category A
242,Category T
243,Category I
243,Category X
244,Category E
245,Category J
246,Category M
246,Category Y
247,Category O
247,Category T
248,Category O
248,Category R
249,Category O
249,Category Z
250,Category U
251,Category E
251,Category K
252,Category A
252,Category V
253,Category N
253,Category W
254,Category R
254,Category X
255,Category E
255,Category Z
256,Category H
256,Category T
257,Category K
258,Category D
259,Category D
259,Category W
260,Category C
260,Category H
261,Category L
261,Category R
262,Category S
263,Category Y
264,Category D
265,Category K
266,Category F
266,Category T
267,Category U
268,Category G
269,Category R
269,Category W
270,Category S
271,Category G
272,Category G
272,Category Y
273,Category H
273,Category I
274,Category X
275,Category B
276,Category M
277,Category D
278,Category T
279,Category X
279,Category Z
280,Category I
281,Category G
281,Category Z
282,Category B
282,Category F
283,Category H
283,Category Q
284,Category K
285,Category X
286,Category D
286,Category S
287,Category I
288,Category U
289,Category T
290,Category D
290,Category V
291,Category Z
292,Category D
292,Category H
293,Category B
293,Category R
294,Category D
295,Category U
296,Category I
296,Category J
297,Category M
297,Category N
298,Category X
299,Category J
299,Category O
300,Category N
300,Category O
301,Category V
302,Category D
302,Category H
303,Category F
303,Category X
304,Category A
305,Category V
305,Category Y
306,Category F
307,Category E
307,Category K
308,Category P
309,Category V
309,Category Y
310,Category A
310,Category I
311,Category P
311,Category Z
312,Category J
313,Category I
313,Category U
314,Category I
314,Category W
315,Category D
315,Category Q
316,Category L
317,Category K
317,Category N
318,Category G
318,Category T
319,Category F
320,Category Y
321,Category Q
321,Category W
322,Category B
322,Category T
323,Category D
323,Category U
324,Category J
324,Category M
325,Category N
326,Category U
327,Category B
328,Category I
328,Category K
329,Category S
330,Category R
330,Category X
331,Category F
331,Category L
332,Category L
333,Category V
334,Category H
334,Category M
335,Category B
336,Category K
336,Category T
337,Category H
337,Category J
338,Category A
339,Category L
340,Category B
340,Category O
341,Category U
342,Category F
342,Category X
343,Category J
343,Category N
344,Category A
345,Category M
345,Category Q
346,Category D
346,Category F
347,Category S
348,Category A
348,Category G
349,Category T
349,Category V
350,Category J
351,Category A
351,Category E
352,Category G
352,Category J
353,Category A
354,Category X
355,Category E
355,Category J
356,Category G
356,Category M
357,Category S
357,Category Z
358,Category N
359,Category I
360,Category U
361,Category P
362,Category E
363,Category O
363,Category R
364,Category G
365,Category Y
366,Category C
366,Category V
367,Category D
368,Category S
369,Category D
369,Category K
370,Category L
371,Category V
372,Category I
372,Category L
373,Category C
373,Category F
374,Category U
375,Category K
376,Category O
376,Category Y
377,Category B
377,Category E
378,Category C
378,Category Y
379,Category F
379,Category S
380,Category I
381,Category J
381,Category K
382,Category E
382,Category P
383,Category Z
384,Category F
385,Category B
385,Category T
386,Category W
387,Category K
387,Category P
388,Category I
388,Category L
389,Category P
390,Category V
391,Category H
392,Category R
392,Category S
393,Category E
393,Category R
394,Category U
395,Category N
395,Category Y
396,Category E
396,Category U
397,Category D
398,Category W
399,Category W
400,Category X
401,Category D
402,Category D
402,Category Z
403,Category M
404,Category R
404,Category X
405,Category K
405,Category P
406,Category N
406,Category Y
407,Category F
407,Category N
408,Category H
409,Category M
410,Category F
411,Category J
411,Category P
412,Category B
412,Category U
413,Category M
413,Category Y
414,Category A
414,Category P
415,Category R
416,Category S
417,Category J
417,Category Q
418,Category A
418,Category R
419,Category H
419,Category P
420,Category F
421,Category G
421,Category S
422,Category D
422,Category T
423,Category W
423,Category Y
424,Category D
424,Category I
425,Category H
426,Category G
427,Category O
427,Category P
428,Category D
428,Category Q
429,Category P
430,Category M
430,Category T
431,Category K
432,Category M
433,Category B
433,Category L
434,Category F
435,Category N
436,Category A
436,Category K
437,Category V
437,Category Y
438,Category I
439,Category H
439,Category T
440,Category P
440,Category S
441,Category M
441,Category O
442,Category X
443,Category B
444,Category H
444,Category L
445,Category H
446,Category N
447,Category C
448,Category L
449,Category L
450,Category C
451,Category B
452,Category D
453,Category D
454,Category Y
455,Category D
456,Category V
457,Category A
457,Category W
458,Category S
459,Category K
459,Category W
460,Category D
460,Category W
461,Category P
462,Category P
462,Category U
463,Category Z
464,Category A
464,Category O
465,Category F
466,Category G
466,Category W
467,Category T
467,Category Y
468,Category R
469,Category C
469,Category L
470,Category P
470,Category X
471,Category R
472,Category I
473,Category L
473,Category M
474,Category E
475,Category L
475,Category N
476,Category Z
477,Category O
477,Category U
478,Category F
478,Category R
479,Category B
479,Category C
480,Category B
481,Category Z
482,Category Q
482,Category T
483,Category B
483,Category F
484,Category L
484,Category Y
485,Category B
486,Category N
487,Category F
488,Category I
488,Category O
489,Category D
489,Category S
490,Category Q
491,Category L
491,Category Z
492,Category B
492,Category C
493,Category T
494,Category K
495,Category D
496,Category D
496,Category O
497,Category E
497,Category Y
498,Category B
498,Category C
499,Category C
499,Category O
500,Category H
500,Category U
501,Category H
502,Category L
502,Category Z
503,Category E
503,Category S
504,Category R
505,Category Y
506,Category S
507,Category T
508,Category G
508,Category W
509,Category A
509,Category P
510,Category E
511,Category I
512,Category K
512,Category N
513,Category H
514,Category I
514,Category T
515,Category Z
516,Category T
517,Category D
517,Category X
518,Category D
518,Category S
519,Category M
520,Category R
521,Category N
522,Category O
523,Category U
524,Category J
524,Category N
525,Category D
525,Category O
526,Category C
526,Category D
527,Category G
527,Category T
528,Category I
528,Category J
529,Category N
530,Category I
530,Category Y
531,Category I
532,Category K
532,Category R
533,Category G
533,Category T
534,Category D
534,Category F
535,Category A
535,Category F
536,Category J
537,Category I
537,Category N
538,Category T
539,Category J
539,Category M
540,Category J
541,Category Z
542,Category J
543,Category F
543,Category G
544,Category J
544,Category U
545,Category N
546,Category C
546,Category D
547,Category I
547,Category K
548,Category Y
549,Category R
550,Category C
550,Category L
551,Category B
551,Category K
552,Category H
552,Category S
553,Category D
554,Category A
554,Category G
555,Category I
555,Category Y
556,Category G
556,Category Q
557,Category T
557,Category Y
558,Category V
558,Category W
559,Category C
559,Category D
560,Category A
560,Category F
561,Category B
561,Category V
562,Category H
563,Category K
563,Category R
564,Category A
564,Category D
565,Category M
566,Category H
567,Category H
567,Category V
568,Category V
569,Category Z
570,Category C
570,Category K
571,Category X
572,Category M
572,Category O
573,Category V
574,Category V
574,Category X
575,Category I
576,Category H
576,Category T
577,Category K
578,Category X
579,Category F
580,Category E
581,Category D
581,Category G
582,Category S
583,Category P
584,Category C
585,Category T
586,Category T
587,Category B
588,Category N
589,Category W
590,Category U
591,Category L
592,Category F
592,Category M
593,Category P
593,Category X
594,Category C
594,Category J
595,Category F
596,Category I
596,Category S
597,Category J
597,Category O
598,Category N
598,Category Y
599,Category F
599,Category I
600,Category L
601,Category C
601,Category O
602,Category C
603,Category R
604,Category A
604,Category V
605,Category D
606,Category D
606,Category T
607,Category P
608,Category L
608,Category V
609,Category I
609,Category R
610,Category O
611,Category S
611,Category Z
612,Category O
613,Category O
613,Category W
614,Category B
615,Category F
615,Category H
616,Category I
617,Category D
617,Category X
618,Category A
618,Category E
619,Category B
619,Category D
620,Category F
621,Category R
622,Category S
623,Category U
623,Category W
624,Category K
624,Category M
625,Category T
626,Category D
626,Category Y
627,Category N
628,Category L
629,Category Y
630,Category R
631,Category K
631,Category M
632,Category V
633,Category G
634,Category Q
634,Category U
635,Category D
636,Category S
637,Category W
638,Category D
639,Category B
639,Category I
640,Category S
641,Category D
641,Category Q
642,Category F
642,Category J
643,Category N
644,Category B
645,Category C
645,Category S
646,Category H
646,Category K
647,Category J
648,Category J
649,Category G
650,Category U
651,Category V
652,Category B
652,Category N
653,Category F
653,Category H
654,Category A
654,Category K
655,Category M
655,Category U
656,Category G
656,Category U
657,Category L
657,Category W
658,Category L
658,Category P
659,Category Y
659,Category Z
660,Category V
660,Category Z
661,Category H
662,Category B
663,Category F
664,Category D
664,Category U
665,Category V
666,Category M
667,Category C
667,Category N
668,Category G
669,Category U
670,Category G
670,Category S
671,Category R
672,Category M
673,Category C
673,Category M
674,Category F
675,Category J
676,Category H
676,Category U
677,Category Y
678,Category F
678,Category T
679,Category H
679,Category Z
680,Category Q
681,Category J
682,Category R
682,Category T
683,Category H
683,Category O
684,Category F
685,Category C
685,Category M
686,Category S
686,Category X
687,Category T
688,Category U
689,Category R
690,Category H
690,Category P
691,Category I
692,Category S
692,Category Y
693,Category F
693,Category X
694,Category L
695,Category B
695,Category Z
696,Category F
697,Category C
698,Category D
699,Category O
700,Category C
700,Category E
701,Category G
702,Category Z
703,Category O
704,Category X
705,Category J
705,Category U
706,Category E
706,Category N
707,Category V
708,Category Z
709,Category A
710,Category L
710,Category Q
711,Category T
711,Category Z
712,Category C
712,Category Q
713,Category Y
714,Category D
714,Category L
715,Category E
716,Category O
716,Category X
717,Category I
717,Category Q
718,Category O
718,Category V
719,Category F
719,Category T
720,Category B
720,Category Y
721,Category N
721,Category Z
722,Category J
722,Category V
723,Category B
723,Category C
724,Category B
724,Category C
725,Category D
726,Category J
726,Category Z
727,Category N
728,Category N
729,Category P
729,Category Q
730,Category S
731,Category K
731,Category N
732,Category G
732,Category M
733,Category E
734,Category G
735,Category I
735,Category S
736,Category L
736,Category X
737,Category S
738,Category J
738,Category W
739,Category J
739,Category T
740,Category M
741,Category M
742,Category B
742,Category Q
743,Category D
743,Category M
744,Category H
744,Category R
745,Category I
746,Category E
746,Category K
747,Category H
748,Category L
749,Category V
750,Category J
750,Category P
751,Category U
751,Category X
752,Category H
752,Category L
753,Category G
754,Category A
755,Category G
755,Category Z
756,Category K
757,Category B
758,Category M
758,Category T
759,Category E
760,Category K
761,Category Q
762,Category H
762,Category W
763,Category R
764,Category S
764,Category V
765,Category F
765,Category Z
766,Category W
767,Category B
767,Category K
768,Category S
769,Category L
769,Category P
770,Category B
770,Category G
771,Category T
772,Category R
773,Category L
773,Category R
774,Category E
774,Category Q
775,Category P
775,Category R
776,Category S
777,Category Z
778,Category B
778,Category I
779,Category V
780,Category N
781,Category J
781,Category O
782,Category H
782,Category U
783,Category W
784,Category A
784,Category D
785,Category J
785,Category V
786,Category N
786,Category P
787,Category F
788,Category G
788,Category W
789,Category F
789,Category X
790,Category M
790,Category W
791,Category L
792,Category D
792,Category P
793,Category Y
794,Category U
794,Category Z
795,Category G
795,Category N
796,Category V
797,Category J
798,Category A
799,Category A
799,Category M
800,Category G
801,Category H
802,Category V
802,Category W
803,Category G
803,Category V
804,Category B
804,Category S
805,Category A
806,Category B
806,Category S
807,Category M
807,Category O
808,Category Y
809,Category E
809,Category O
810,Category L
810,Category O
811,Category C
811,Category K
812,Category M
813,Category K
813,Category M
814,Category E
815,Category W
816,Category H
817,Category Q
818,Category D
818,Category M
819,Category P
819,Category S
820,Category Y
820,Category Z
821,Category B
821,Category O
822,Category A
822,Category E
823,Category B
823,Category S
824,Category Q
825,Category G
825,Category P
826,Category M
827,Category V
828,Category G
828,Category U
829,Category M
830,Category R
831,Category U
832,Category D
832,Category E
833,Category J
834,Category B
835,Category P
836,Category C
836,Category U
837,Category K
837,Category Y
838,Category J
838,Category K
839,Category F
839,Category G
840,Category K
840,Category V
841,Category A
841,Category B
842,Category H
843,Category J
844,Category O
845,Category C
845,Category G
846,Category L
847,Category K
848,Category T
849,Category N
850,Category N
851,Category J
851,Category W
852,Category F
852,Category L
853,Category D
853,Category S
854,Category G
854,Category N
855,Category J
856,Category J
857,Category A
857,Category P
858,Category C
858,Category Q
859,Category L
859,Category U
860,Category I
861,Category W
862,Category T
863,Category P
864,Category M
864,Category V
865,Category Z
866,Category E
867,Category I
868,Category I
869,Category R
870,Category W
871,Category T
871,Category U
872,Category V
873,Category T
874,Category C
875,Category B
875,Category V
876,Category M
877,Category E
877,Category N
878,Category G
878,Category I
879,Category P
880,Category O
881,Category Z
882,Category N
883,Category Y
884,Category A
885,Category A
885,Category T
886,Category Q
887,Category T
888,Category G
888,Category U
889,Category O
890,Category G
891,Category K
892,Category H
893,Category C
893,Category M
894,Category F
895,Category G
895,Category W
896,Category A
896,Category U
897,Category E
897,Category N
898,Category D
898,Category U
899,Category S
900,Category C
901,Category C
901,Category N
902,Category O
903,Category U
904,Category F
904,Category R
905,Category D
905,Category N
906,Category W
907,Category A
908,Category O
909,Category Y
910,Category G
910,Category Z
911,Category L
911,Category S
912,Category L
912,Category Z
913,Category T
913,Category W
914,Category N
914,Category P
915,Category P
915,Category Z
916,Category I
917,Category R
918,Category I
919,Category M
920,Category R
921,Category B
922,Category O
922,Category V
923,Category X
924,Category L
924,Category O
925,Category D
926,Category J
927,Category K
927,Category L
928,Category B
929,Category R
930,Category F
930,Category L
931,Category O
931,Category T
932,Category F
932,Category R
933,Category A
933,Category V
934,Category U
935,Category W
936,Category G
936,Category R
937,Category B
937,Category V
938,Category I
938,Category L
939,Category Z
940,Category E
941,Category Z
942,Category B
942,Category Y
943,Category J
943,Category L
944,Category F
944,Category V
945,Category B
945,Category G
946,Category E
946,Category M
947,Category J
948,Category B
949,Category N
949,Category Y
950,Category S
951,Category K
951,Category V
952,Category O
953,Category E
954,Category B
955,Category B
955,Category Q
956,Category A
957,Category G
957,Category W
958,Category Y
959,Category A
959,Category R
960,Category F
960,Category R
961,Category L
961,Category M
962,Category C
963,Category V
964,Category D
964,Category L
965,Category W
966,Category I
966,Category M
967,Category O
967,Category P
968,Category S
969,Category G
969,Category L
970,Category R
971,Category P
972,Category V
973,Category A
973,Category C
974,Category N
975,Category L
975,Category N
976,Category C
977,Category J
978,Category K
978,Category U
979,Category A
979,Category B
980,Category E
980,Category T
981,Category Y
982,Category T
983,Category L
984,Category C
984,Category G
985,Category N
985,Category S
986,Category I
986,Category K
987,Category G
988,Category H
988,Category N
989,Category X
990,Category M
991,Category J
992,Category U
993,Category C
993,Category Y
994,Category D
994,Category P
995,Category A
996,Category V
996,Category Y
997,Category G
997,Category Z
998,Category G
998,Category Q
999,Category J
999,Category Q
1000,Category M
1001,Category K
1001,Category X
1002,Category A
1003,Category Q
1003,Category V
1004,Category N
1005,Category O
1006,Category U
1006,Category Y
1007,Category U
1007,Category X
1008,Category J
1008,Category N
1009,Category K
1009,Category S
1010,Category D
1010,Category R
1011,Category A
1011,Category C
1012,Category O
1013,Category D
1013,Category R
1014,Category O
1015,Category E
1016,Category C
1016,Category O
1017,Category H
1018,Category A
1018,Category P
1019,Category Y
1020,Category Q
1021,Category F
1021,Category I
1022,Category L
1023,Category C
1024,Category H
1024,Category O
1025,Category U
1026,Category C
1026,Category U
1027,Category Q
1028,Category K
1029,Category W
1029,Category Y
1030,Category O
1031,Category F
1031,Category I
1032,Category I
1032,Category V
1033,Category A
1034,Category J
1034,Category O
1035,Category D
1035,Category T
1036,Category B
1036,Category S
1037,Category G
1038,Category J
1039,Category C
1040,Category A
1040,Category F
1041,Category G
1041,Category Z
1042,Category Y
1043,Category L
1044,Category B
1044,Category T
1045,Category B
1045,Category J
1046,Category K
1046,Category T
1047,Category D
1047,Category J
1048,Category H
1049,Category V
1050,Category I
1051,Category C
1052,Category Y
1053,Category N
1054,Category T
1055,Category F
1056,Category O
1057,Category L
1057,Category O
1058,Category B
1059,Category J
1059,Category R
1060,Category L
1061,Category T
1062,Category I
1063,Category A
1063,Category N
1064,Category M
1065,Category L
1066,Category J
1067,Category A
1068,Category J
1068,Category V
1069,Category G
1069,Category N
1070,Category L
1070,Category M
1071,Category C
1072,Category K
1072,Category S
1073,Category F
1073,Category H
1074,Category O
1075,Category O
1076,Category Y
1077,Category G
1077,Category O
1078,Category Z
1079,Category W
1079,Category Y
1080,Category W
1081,Category E
1081,Category G
1082,Category P
1083,Category G
1083,Category X
1084,Category C
1084,Category P
1085,Category W
1086,Category H
1086,Category U
1087,Category D
1087,Category E
1088,Category Y
1089,Category R
1090,Category R
1090,Category T
1091,Category J
1092,Category N
1093,Category Q
1094,Category X
1095,Category Q
1096,Category U
1097,Category A
1097,Category G
1098,Category J
1099,Category T
1100,Category E
1101,Category X
1102,Category H
1102,Category O
1103,Category D
1103,Category M
1104,Category B
1104,Category C
1105,Category D
1105,Category P
1106,Category S
1107,Category H
1107,Category N
1108,Category K
1109,Category Q
1110,Category L
1110,Category X
1111,Category D
1112,Category Q
1112,Category Y
1113,Category C
1114,Category F
1114,Category Q
1115,Category C
1115,Category T
1116,Category Z
1117,Category Z
1118,Category Q
1118,Category Y
1119,Category T
1120,Category P
1121,Category A
1121,Category P
1122,Category Z
1123,Category M
1123,Category U
1124,Category U
1125,Category Y
1126,Category H
1127,Category Q
1127,Category W
1128,Category E
1128,Category F
1129,Category J
1129,Category U
1130,Category C
1130,Category G
1131,Category O
1131,Category V
1132,Category R
1133,Category J
1134,Category R
1134,Category V
1135,Category Q
1136,Category B
1137,Category J
1138,Category X
1139,Category H
1139,Category T
1140,Category T
1141,Category H
1141,Category M
1142,Category R
1143,Category M
1143,Category X
1144,Category P
1144,Category Q
1145,Category L
1146,Category A
1146,Category Y
1147,Category M
1147,Category U
1148,Category E
1148,Category Y
1149,Category R
1150,Category K
1150,Category N
1151,Category G
1151,Category U
1152,Category E
1152,Category N
1153,Category U
1154,Category Q
1155,Category S
1156,Category H
1156,Category Y
1157,Category T
1158,Category H
1158,Category O
1159,Category U
1160,Category K
1160,Category M
1161,Category U
1162,Category E
1162,Category M
1163,Category U
1164,Category F
1165,Category M
1166,Category S
1167,Category E
1167,Category T
1168,Category S
1169,Category A
1169,Category L
1170,Category W
1171,Category F
1172,Category I
1172,Category W
1173,Category S
1174,Category L
1175,Category N
1176,Category Q
1177,Category H
1177,Category O
1178,Category N
1179,Category S
1180,Category B
1180,Category E
1181,Category F
1182,Category O
1182,Category T
1183,Category W
1184,Category A
1184,Category S
1185,Category F
1185,Category P
1186,Category I
1186,Category L
1187,Category Z
1188,Category P
1188,Category Q
1189,Category R
1190,Category D
1190,Category Z
1191,Category V
1192,Category A
1193,Category M
1193,Category P
1194,Category D
1194,Category O
1195,Category K
1195,Category V
1196,Category D
1196,Category E
1197,Category K
1198,Category Q
1198,Category W
1199,Category E
1199,Category G
1200,Category A
1201,Category D
1201,Category W
1202,Category F
1202,Category I
1203,Category J
1204,Category M
1204,Category O
1205,Category C
1206,Category K
1206,Category O
1207,Category A
1207,Category U
1208,Category M
1208,Category Q
1209,Category Y
1210,Category P
1211,Category S
1212,Category J
1213,Category D
1214,Category D
1215,Category Y
1216,Category I
1217,Category N
1218,Category L
1219,Category K
1220,Category C
1220,Category S
1221,Category C
1222,Category A
1223,Category U
1224,Category D
1224,Category N
1225,Category B
1225,Category W
1226,Category Y
1227,Category J
1227,Category R
1228,Category U
1228,Category V
1229,Category F
1229,Category I
1230,Category J
1231,Category X
1231,Category Y
1232,Category D
1232,Category M
1233,Category N
1234,Category R
1234,Category S
1235,Category E
1235,Category U
1236,Category E
1236,Category O
1237,Category M
1238,Category K
1238,Category L
1239,Category F
1240,Category D
1240,Category I
1241,Category B
1242,Category L
1242,Category Q
1243,Category V
1244,Category M
1244,Category Z
1245,Category B
1245,Category J
1246,Category F
1247,Category W
1247,Category X
1248,Category B
1248,Category Z
1249,Category R
1250,Category B
1251,Category L
1251,Category T
1252,Category I
1253,Category S
1253,Category Z
1254,Category O
1254,Category U
1255,Category J
1255,Category X
1256,Category W
1256,Category Y
1257,Category B
1257,Category Z
1258,Category E
1258,Category L
1259,Category E
1259,Category N
1260,Category H
1260,Category Z
1261,Category L
1261,Category U
1262,Category I
1263,Category T
1264,Category T
1264,Category Z
1265,Category P
1266,Category G
1267,Category U
1268,Category E
1269,Category R
1270,Category M
1270,Category O
1271,Category D
1272,Category D
1273,Category W
1274,Category U
1275,Category J
1276,Category B
1276,Category J
1277,Category A
1277,Category N
1278,Category A
1278,Category H
1279,Category B
1279,Category M
1280,Category S
1281,Category U
1282,Category J
1282,Category N
1283,Category V
1284,Category D
1284,Category K
1285,Category X
1286,Category M
1287,Category Z
1288,Category F
1288,Category Y
1289,Category P
1290,Category G
1290,Category J
1291,Category Z
1292,Category B
1293,Category T
1294,Category J
1295,Category B
1295,Category R
1296,Category V
1297,Category P
1297,Category Y
1298,Category S
1299,Category D
1299,Category M
1300,Category T
1301,Category E
1301,Category I
1302,Category P
1302,Category R
1303,Category F
1303,Category T
1304,Category M
1304,Category Y
1305,Category Y
1306,Category I
1306,Category Q
1307,Category I
1308,Category R
1309,Category Z
1310,Category A
1311,Category J
1312,Category J
1312,Category Y
1313,Category X
1314,Category J
1314,Category X
1315,Category X
1315,Category Y
1316,Category G
1317,Category D
1318,Category Z
1319,Category A
1319,Category V
1320,Category B
1321,Category K
1321,Category W
1322,Category E
1322,Category S
1323,Category K
1323,Category T
1324,Category N
1324,Category X
1325,Category L
1326,Category M
1327,Category P
1327,Category S
1328,Category B
1329,Category Z
1330,Category S
1330,Category W
1331,Category L
1332,Category A
1332,Category X
1333,Category B
1334,Category C
1335,Category G
1335,Category N
1336,Category A
1337,Category E
1337,Category H
1338,Category V
1339,Category U
1339,Category Z
1340,Category I
1340,Category S
1341,Category K
1341,Category U
1342,Category I
1343,Category C
1344,Category F
1344,Category P
1345,Category B
1345,Category E
1346,Category R
1347,Category D
1347,Category X
1348,Category O
1348,Category X
1349,Category U
1350,Category H
1351,Category M
1352,Category A
1352,Category W
1353,Category T
1354,Category K
1355,Category G
1355,Category L
1356,Category I
1356,Category L
1357,Category J
1358,Category J
1359,Category U
1360,Category J
1361,Category R
1362,Category N
1362,Category U
1363,Category O
1363,Category Z
1364,Category O
1365,Category O
1366,Category Z
1367,Category J
1367,Category Z
1368,Category S
1368,Category V
1369,Category L
1369,Category Q
1370,Category O
1370,Category X
1371,Category R
1372,Category K
1373,Category M
1374,Category O
1374,Category P
1375,Category N
1376,Category P
1377,Category G
1378,Category A
1378,Category X
1379,Category N
1380,Category B
1381,Category C
1382,Category H
1383,Category G
1384,Category F
1384,Category X
1385,Category B
1386,Category J
1386,Category O
1387,Category F
1388,Category U
1389,Category S
1389,Category U
1390,Category I
1390,Category M
1391,Category J
1391,Category N
1392,Category B
1392,Category X
1393,Category A
1393,Category U
1394,Category A
1394,Category X
1395,Category A
1395,Category K
1396,Category K
1397,Category T
1398,Category T
1398,Category Z
1399,Category I
1399,Category U
1400,Category L
1401,Category D
1401,Category F
1402,Category M
1403,Category M
1403,Category S
1404,Category P
1405,Category J
1405,Category R
1406,Category H
1406,Category O
1407,Category E
1407,Category K
1408,Category F
1408,Category I
1409,Category J
1409,Category P
1410,Category A
1411,Category J
1411,Category T
1412,Category D
1413,Category H
1414,Category S
1414,Category V
1415,Category Y
1416,Category N
1416,Category V
1417,Category U
1418,Category K
1419,Category L
1420,Category Q
1421,Category H
1422,Category A
1422,Category O
1423,Category D
1423,Category Q
1424,Category Q
1425,Category H
1425,Category O
1426,Category K
1426,Category M
1427,Category P
1428,Category L
1428,Category P
1429,Category C
1429,Category Z
1430,Category B
1430,Category D
1431,Category L
1432,Category O
1433,Category X
1434,Category F
1434,Category N
1435,Category P
1436,Category D
1436,Category H
1437,Category P
1438,Category Q
1438,Category S
1439,Category Q
1440,Category N
1441,Category M
1442,Category O
1442,Category X
1443,Category F
1443,Category N
1444,Category Q
1444,Category S
1445,Category P
1446,Category A
1446,Category G
1447,Category P
1448,Category R
1449,Category S
1449,Category V
1450,Category M
1451,Category Y
1452,Category I
1453,Category C
1454,Category P
1455,Category O
1455,Category Z
1456,Category G
1456,Category P
1457,Category J
1458,Category N
1458,Category O
1459,Category S
1460,Category V
1460,Category W
1461,Category V
1462,Category C
1462,Category O
1463,Category G
1463,Category R
1464,Category I
1464,Category K
